"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","Nectar.Common.Name","Number","L48.Status","Seedmix"
14,"RC2","RC2-C","IC","Spr","birdsfoot trefoil",592,"E","O"
14,"RC2","RC2-C","IC","Spr","daisy fleabane",3,"N","O"
14,"RC2","RC2-C","IC","Spr","deptford pink",116,"E","O"
14,"RC2","RC2-C","IC","Spr","queen anne's lace",1,"E","O"
14,"RC2","RC2-C","IC","Spr","red clover",471,"E","O"
14,"RC2","RC2-N","IC","SnS","birdsfoot trefoil",18,"E","O"
14,"RC2","RC2-N","IC","SnS","common cinquefoil",1,"N","O"
14,"RC2","RC2-N","IC","SnS","deptford pink",24,"E","O"
14,"RC2","RC2-N","IC","SnS","horsenettle",4,"N","O"
14,"RC2","RC2-N","IC","SnS","prairie turnip",5,"N","O"
14,"RC2","RC2-N","IC","SnS","red clover",23,"E","O"
14,"RC2","RC2-N","IC","SnS","white sweet clover",1,"E","O"
14,"RC2","RC2-S","IC","Con","alfalfa",7,"E","O"
14,"RC2","RC2-S","IC","Con","alsike clover",17,"E","O"
14,"RC2","RC2-S","IC","Con","birdsfoot trefoil",2506,"E","O"
14,"RC2","RC2-S","IC","Con","common cinquefoil",1,"N","O"
14,"RC2","RC2-S","IC","Con","daisy fleabane",6,"N","O"
14,"RC2","RC2-S","IC","Con","deptford pink",14,"E","O"
14,"RC2","RC2-S","IC","Con","horsenettle",3,"N","O"
14,"RC2","RC2-S","IC","Con","red clover",395,"E","O"
14,"RC2","RC2-S","IC","Con","white clover",94,"E","O"
14,"RC2","RC2-S","IC","Con","yarrow",27,"N","O"
15,"RC2","RC2-C","IC","Spr","alsike clover",5,"E","O"
15,"RC2","RC2-C","IC","Spr","birdsfoot trefoil",2928,"E","O"
15,"RC2","RC2-C","IC","Spr","morning glory",4,"E","O"
15,"RC2","RC2-C","IC","Spr","prairie petunia",1,"N","X"
15,"RC2","RC2-C","IC","Spr","queen anne's lace",51,"E","O"
15,"RC2","RC2-C","IC","Spr","swamp vervain",7,"N","O"
15,"RC2","RC2-C","IC","Spr","white clover",52,"E","O"
15,"RC2","RC2-C","IC","Spr","white vervain",4,"N","O"
15,"RC2","RC2-N","IC","SnS","birdsfoot trefoil",544,"E","O"
15,"RC2","RC2-N","IC","SnS","daisy fleabane",1,"N","O"
15,"RC2","RC2-N","IC","SnS","queen anne's lace",5,"E","O"
15,"RC2","RC2-N","IC","SnS","red clover",54,"E","O"
15,"RC2","RC2-N","IC","SnS","sulfur cinquefoil",1,"E","O"
15,"RC2","RC2-N","IC","SnS","white clover",95,"E","O"
15,"RC2","RC2-N","IC","SnS","yellow oxalis",65,"N","O"
15,"RC2","RC2-S","IC","Con","birdsfoot trefoil",200,"E","O"
15,"RC2","RC2-S","IC","Con","daisy fleabane",1,"N","O"
15,"RC2","RC2-S","IC","Con","red clover",55,"E","O"
16,"RC2","RC2-C","IC","Spr","alsike clover",69,"E","O"
16,"RC2","RC2-C","IC","Spr","common cinquefoil",1,"N","O"
16,"RC2","RC2-C","IC","Spr","daisy fleabane",455,"N","O"
16,"RC2","RC2-C","IC","Spr","deptford pink",3,"E","O"
16,"RC2","RC2-C","IC","Spr","hoary vervain",5,"N","O"
16,"RC2","RC2-C","IC","Spr","horsenettle",1,"N","O"
16,"RC2","RC2-C","IC","Spr","prairie cinquefoil",22,"N","X"
16,"RC2","RC2-C","IC","Spr","prairie petunia",1,"N","X"
16,"RC2","RC2-C","IC","Spr","red clover",580,"E","O"
16,"RC2","RC2-C","IC","Spr","swamp vervain",460,"N","O"
16,"RC2","RC2-C","IC","Spr","white clover",1,"E","O"
16,"RC2","RC2-N","IC","SnS","alfalfa",18,"E","O"
16,"RC2","RC2-N","IC","SnS","alsike clover",13,"E","O"
16,"RC2","RC2-N","IC","SnS","birdsfoot trefoil",3536,"E","O"
16,"RC2","RC2-N","IC","SnS","black-eyed susan",45,"N","X"
16,"RC2","RC2-N","IC","SnS","common cinquefoil",1,"N","O"
16,"RC2","RC2-N","IC","SnS","daisy fleabane",649,"N","O"
16,"RC2","RC2-N","IC","SnS","deptford pink",490,"E","O"
16,"RC2","RC2-N","IC","SnS","hoary vervain",18,"N","O"
16,"RC2","RC2-N","IC","SnS","horsenettle",7,"N","O"
16,"RC2","RC2-N","IC","SnS","prairie cinquefoil",9,"N","X"
16,"RC2","RC2-N","IC","SnS","queen anne's lace",5,"E","O"
16,"RC2","RC2-N","IC","SnS","red clover",1365,"E","O"
16,"RC2","RC2-N","IC","SnS","ribwort plantain",738,"E","O"
16,"RC2","RC2-N","IC","SnS","sawtooth sunflower",1,"N","O"
16,"RC2","RC2-N","IC","SnS","showy tick trefoil",5,"N","X"
16,"RC2","RC2-N","IC","SnS","slender mountain mint",78,"N","X"
16,"RC2","RC2-N","IC","SnS","white clover",15,"E","O"
16,"RC2","RC2-N","IC","SnS","white vervain",4,"N","O"
16,"RC2","RC2-N","IC","SnS","wild bergamot",17,"N","X"
16,"RC2","RC2-N","IC","SnS","wild parsnip",1,"E","O"
16,"RC2","RC2-S","IC","Con","birdsfoot trefoil",2548,"E","O"
16,"RC2","RC2-S","IC","Con","daisy fleabane",38,"N","O"
16,"RC2","RC2-S","IC","Con","horsenettle",5,"N","O"
16,"RC2","RC2-S","IC","Con","morning glory",3,"E","O"
16,"RC2","RC2-S","IC","Con","prairie petunia",61,"N","X"
16,"RC2","RC2-S","IC","Con","queen anne's lace",437,"E","O"
16,"RC2","RC2-S","IC","Con","red clover",396,"E","O"
16,"RC2","RC2-S","IC","Con","yarrow",1,"N","O"
17,"RC2","RC2-C","IC","Spr","birdsfoot trefoil",2254,"E","O"
17,"RC2","RC2-C","IC","Spr","daisy fleabane",28,"N","O"
17,"RC2","RC2-C","IC","Spr","downy cinquefoil",1,"E","O"
17,"RC2","RC2-C","IC","Spr","horsenettle",6,"N","O"
17,"RC2","RC2-C","IC","Spr","morning glory",166,"E","O"
17,"RC2","RC2-C","IC","Spr","prairie petunia",17,"N","X"
17,"RC2","RC2-C","IC","Spr","queen anne's lace",52,"E","O"
17,"RC2","RC2-C","IC","Spr","swamp vervain",960,"N","O"
17,"RC2","RC2-N","IC","SnS","birdsfoot trefoil",4877,"E","O"
17,"RC2","RC2-N","IC","SnS","black-eyed susan",5,"N","X"
17,"RC2","RC2-N","IC","SnS","daisy fleabane",49,"N","O"
17,"RC2","RC2-N","IC","SnS","deptford pink",1,"E","O"
17,"RC2","RC2-N","IC","SnS","field pennycress",2,"E","O"
17,"RC2","RC2-N","IC","SnS","oxeye sunflower",2,"N","X"
17,"RC2","RC2-N","IC","SnS","queen anne's lace",8,"E","O"
17,"RC2","RC2-N","IC","SnS","showy tick trefoil",159,"N","X"
17,"RC2","RC2-N","IC","SnS","slender mountain mint",128,"N","X"
17,"RC2","RC2-N","IC","SnS","sulfur cinquefoil",5,"E","O"
17,"RC2","RC2-N","IC","SnS","swamp vervain",5,"N","O"
17,"RC2","RC2-N","IC","SnS","wild bergamot",334,"N","X"
17,"RC2","RC2-S","IC","Con","birdsfoot trefoil",518,"E","O"
17,"RC2","RC2-S","IC","Con","crown vetch",5,"E","O"
17,"RC2","RC2-S","IC","Con","daisy fleabane",36,"N","O"
17,"RC2","RC2-S","IC","Con","horsenettle",9,"N","O"
17,"RC2","RC2-S","IC","Con","old field goldenrod",5,"N","O"
17,"RC2","RC2-S","IC","Con","queen anne's lace",65,"E","O"
17,"RC2","RC2-S","IC","Con","slender mountain mint",27,"N","X"
18,"RC2","RC2-C","IC","Spr","alsike clover",5,"E","O"
18,"RC2","RC2-C","IC","Spr","birdsfoot trefoil",3626,"E","O"
18,"RC2","RC2-C","IC","Spr","butterfly milkweed",6,"N","X"
18,"RC2","RC2-C","IC","Spr","canada anemone",2,"N","O"
18,"RC2","RC2-C","IC","Spr","daisy fleabane",245,"N","O"
18,"RC2","RC2-C","IC","Spr","deptford pink",34,"E","O"
18,"RC2","RC2-C","IC","Spr","ironweed",1,"N","X"
18,"RC2","RC2-C","IC","Spr","prairie petunia",2,"N","X"
18,"RC2","RC2-C","IC","Spr","queen anne's lace",389,"E","O"
18,"RC2","RC2-C","IC","Spr","red clover",57,"E","O"
18,"RC2","RC2-C","IC","Spr","sulfur cinquefoil",3,"E","O"
18,"RC2","RC2-N","IC","SnS","birdsfoot trefoil",2602,"E","O"
18,"RC2","RC2-N","IC","SnS","black-eyed susan",4,"N","X"
18,"RC2","RC2-N","IC","SnS","crown vetch",29,"E","O"
18,"RC2","RC2-N","IC","SnS","daisy fleabane",8,"N","O"
18,"RC2","RC2-N","IC","SnS","grey-headed coneflower",630,"N","X"
18,"RC2","RC2-N","IC","SnS","horsenettle",10,"N","O"
18,"RC2","RC2-N","IC","SnS","ironweed",7,"N","X"
18,"RC2","RC2-N","IC","SnS","prairie petunia",2,"N","X"
18,"RC2","RC2-N","IC","SnS","red clover",57,"E","O"
18,"RC2","RC2-N","IC","SnS","sawtooth sunflower",4,"N","O"
18,"RC2","RC2-N","IC","SnS","slender mountain mint",49,"N","X"
18,"RC2","RC2-N","IC","SnS","st. john's wort",21,"E","O"
18,"RC2","RC2-N","IC","SnS","wild bergamot",185,"N","X"
18,"RC2","RC2-N","IC","SnS","wild parsnip",3,"E","O"
18,"RC2","RC2-S","IC","Con","birdsfoot trefoil",283,"E","O"
18,"RC2","RC2-S","IC","Con","daisy fleabane",86,"N","O"
18,"RC2","RC2-S","IC","Con","deptford pink",2,"E","O"
18,"RC2","RC2-S","IC","Con","horsenettle",2,"N","O"
18,"RC2","RC2-S","IC","Con","ironweed",6,"N","X"
18,"RC2","RC2-S","IC","Con","red clover",14,"E","O"
18,"RC2","RC2-S","IC","Con","sulfur cinquefoil",2,"E","O"
18,"RC2","RC2-S","IC","Con","wild parsnip",1,"E","O"
