"Year","Common Name","Scientific Name","Con","Spr","SnS"
14,"american lady","Vanessa virginiensis",NA,2,7
15,"american lady","Vanessa virginiensis",NA,1,NA
16,"american lady","Vanessa virginiensis",NA,NA,1
17,"american lady","Vanessa virginiensis",NA,1,NA
18,"american lady","Vanessa virginiensis",1,NA,NA
14,"black swallowtail","Papilio polyxenes",NA,1,NA
15,"black swallowtail","Papilio polyxenes",NA,2,3
16,"black swallowtail","Papilio polyxenes",1,4,5
17,"black swallowtail","Papilio polyxenes",NA,2,NA
18,"black swallowtail","Papilio polyxenes",1,1,5
15,"bronze copper","Lycaena hyllus",NA,1,NA
16,"bronze copper","Lycaena hyllus",1,NA,2
14,"cabbage white","Pieris rapae",5,4,3
15,"cabbage white","Pieris rapae",27,72,68
16,"cabbage white","Pieris rapae",37,34,45
17,"cabbage white","Pieris rapae",17,17,28
18,"cabbage white","Pieris rapae",11,5,9
14,"clouded sulphur","Colias philodice",61,38,58
15,"clouded sulphur","Colias philodice",56,35,81
16,"clouded sulphur","Colias philodice",33,34,38
17,"clouded sulphur","Colias philodice",12,14,23
18,"clouded sulphur","Colias philodice",10,16,14
15,"common buckeye","Junonia coenia",1,1,1
16,"common buckeye","Junonia coenia",3,9,11
17,"common buckeye","Junonia coenia",9,19,10
18,"common buckeye","Junonia coenia",NA,2,NA
14,"common wood nymph","Cercyonis pegala",4,2,16
15,"common wood nymph","Cercyonis pegala",7,1,NA
16,"common wood nymph","Cercyonis pegala",5,3,5
17,"common wood nymph","Cercyonis pegala",4,9,NA
18,"common wood nymph","Cercyonis pegala",NA,NA,5
15,"coral hairstreak","Satyrium titus",1,NA,NA
16,"delaware skipper","Anatrytone logan",NA,NA,1
17,"delaware skipper","Anatrytone logan",NA,1,NA
18,"delaware skipper","Anatrytone logan",NA,NA,1
16,"dun skipper","Euphyes vestris",1,NA,NA
15,"eastern comma","Polygonia comma",NA,NA,1
17,"eastern comma","Polygonia comma",NA,1,NA
14,"eastern tailed blue","Cupido comyntas",108,42,101
15,"eastern tailed blue","Cupido comyntas",5,2,6
16,"eastern tailed blue","Cupido comyntas",17,52,46
17,"eastern tailed blue","Cupido comyntas",34,46,25
18,"eastern tailed blue","Cupido comyntas",21,13,7
14,"eastern tiger swallowtail","Papilio glaucus",4,3,1
16,"eastern tiger swallowtail","Papilio glaucus",NA,NA,1
17,"eastern tiger swallowtail","Papilio glaucus",1,1,NA
18,"eastern tiger swallowtail","Papilio glaucus",3,NA,NA
15,"european skipper","Thymelicus lineola",NA,NA,1
15,"giant swallowtail","Papilio cresphontes",1,NA,NA
16,"giant swallowtail","Papilio cresphontes",NA,2,3
17,"giant swallowtail","Papilio cresphontes",NA,1,NA
18,"giant swallowtail","Papilio cresphontes",NA,1,2
16,"gorgone checkerspot","Chlosyne gorgone",NA,1,NA
14,"gray copper","Lycaena dione",NA,1,1
18,"gray copper","Lycaena dione",NA,NA,2
14,"great spangled fritillary","Speyeria cybele",4,3,2
15,"great spangled fritillary","Speyeria cybele",15,6,2
16,"great spangled fritillary","Speyeria cybele",2,1,1
17,"great spangled fritillary","Speyeria cybele",4,4,2
18,"great spangled fritillary","Speyeria cybele",12,2,8
16,"indigo duskywing","Erynnis baptisiae",1,NA,1
18,"indigo duskywing","Erynnis baptisiae",NA,1,NA
16,"least skipper","Ancyloxypha numitor",NA,NA,1
17,"least skipper","Ancyloxypha numitor",NA,1,NA
14,"little wood satyr","Megisto cymela",2,1,NA
14,"little yellow","Pyrisitia lisa",1,2,2
18,"little yellow","Pyrisitia lisa",2,2,4
14,"meadow fritillary","Boloria bellona",5,NA,3
15,"meadow fritillary","Boloria bellona",1,1,1
16,"meadow fritillary","Boloria bellona",14,12,15
17,"meadow fritillary","Boloria bellona",3,16,10
18,"meadow fritillary","Boloria bellona",3,8,26
14,"monarch","Danaus plexippus",3,8,5
15,"monarch","Danaus plexippus",1,8,5
16,"monarch","Danaus plexippus",1,NA,NA
17,"monarch","Danaus plexippus",3,6,4
18,"monarch","Danaus plexippus",3,6,13
14,"orange sulphur","Colias eurytheme",33,23,33
15,"orange sulphur","Colias eurytheme",23,19,31
16,"orange sulphur","Colias eurytheme",39,96,103
17,"orange sulphur","Colias eurytheme",37,44,48
18,"orange sulphur","Colias eurytheme",22,19,33
15,"painted lady","Vanessa cardui",1,NA,3
17,"painted lady","Vanessa cardui",1,NA,1
14,"pearl crescent","Phyciodes tharos",7,7,2
15,"pearl crescent","Phyciodes tharos",7,5,8
16,"pearl crescent","Phyciodes tharos",6,14,19
17,"pearl crescent","Phyciodes tharos",12,43,43
18,"pearl crescent","Phyciodes tharos",11,6,17
16,"peck's skipper","Polites peckius",2,1,1
17,"peck's skipper","Polites peckius",1,1,4
18,"peck's skipper","Polites peckius",1,NA,1
15,"question mark","Polygonia interrogationis",NA,NA,1
16,"question mark","Polygonia interrogationis",1,NA,NA
14,"red admiral","Vanessa atalanta",NA,NA,1
15,"red admiral","Vanessa atalanta",2,1,3
16,"red admiral","Vanessa atalanta",NA,NA,1
17,"red admiral","Vanessa atalanta",NA,1,NA
16,"red-spotted purple","Limenitis arthemis",1,NA,NA
14,"regal fritillary","Speyeria idalia",2,NA,5
15,"regal fritillary","Speyeria idalia",2,5,3
16,"regal fritillary","Speyeria idalia",NA,1,1
17,"regal fritillary","Speyeria idalia",1,NA,NA
18,"regal fritillary","Speyeria idalia",3,4,3
14,"silver-spotted skipper","Epargyreus clarus",NA,NA,1
15,"silver-spotted skipper","Epargyreus clarus",1,NA,NA
16,"silver-spotted skipper","Epargyreus clarus",5,NA,2
17,"silver-spotted skipper","Epargyreus clarus",1,NA,NA
18,"silver-spotted skipper","Epargyreus clarus",5,7,2
14,"silvery checkerspot","Chlosyne nycteis",1,NA,NA
16,"silvery checkerspot","Chlosyne nycteis",NA,NA,2
17,"silvery checkerspot","Chlosyne nycteis",1,1,NA
18,"silvery checkerspot","Chlosyne nycteis",5,4,1
18,"southern cloudywing","Thorybes bathyllus",1,1,NA
14,"summer azure","Celastrina neglecta",1,NA,NA
16,"summer azure","Celastrina neglecta",1,NA,NA
14,"tawny-edged skipper","Polites themistocles",4,NA,1
16,"tawny-edged skipper","Polites themistocles",1,5,NA
17,"tawny-edged skipper","Polites themistocles",3,2,5
18,"tawny-edged skipper","Polites themistocles",4,2,NA
18,"variegated fritillary","Euptoeita claudia",NA,NA,2
15,"viceroy","Limenitis archippus",NA,2,NA
16,"viceroy","Limenitis archippus",1,1,NA
17,"viceroy","Limenitis archippus",1,NA,NA
